Retail Branding,Marketing Name,Device,Model,Supported ROMs
Google,Pixel 3a,sargo,Pixel 3a,"AICP, AmyROM, Bliss ROMs, CalyxOS, Dot OS"
Google,Pixel 3a XL,bonito,Pixel 3a XL,"AICP, AmyROM, Bliss ROMs, CalyxOS, Dot OS"
Google,Pixel 4,flame,Pixel 4,"Bliss ROMs, CalyxOS, Derpfest"
Google,Pixel 4 XL,coral,Pixel 4 XL,"Bliss ROMs, CalyxOS, CrDroid, Derpfest"
Google,Pixel 4a,sunfish,Pixel 4a,"Bliss ROMs, CalyxOS"
Google,Pixel 4a (5G),bramble,Pixel 4a (5G),"CalyxOS, CrDroid"
Google,Pixel 5,redfin,Pixel 5,"CalyxOS, CrDroid, Derpfest"
Google,Pixel 5a 5G,barbet,Pixel 5a,"AICP, Bliss ROMs, CalyxOS, CrDroid"
Google,Pixel 6,oriole,Pixel 6,"Advanced XPerience Os, AlphaDroid, Bliss ROMs, CalyxOS, CrDroid, Derpfest"
Google,Pixel 6 Pro,raven,Pixel 6 Pro,"AlphaDroid, Bliss ROMs, CalyxOS, CrDroid, Derpfest"
Google,Pixel 6a,bluejay,Pixel 6a,"Advanced XPerience Os, AlphaDroid, Bliss ROMs, CalyxOS, Derpfest"
Google,Pixel 7,panther,Pixel 7,"Bliss ROMs, CalyxOS, CrDroid, Derpfest"
Google,Pixel 7 Pro,cheetah,Pixel 7 Pro,"Advanced XPerience Os, Ancient OS, Bliss ROMs, CalyxOS, CrDroid, Derpfest"
Google,Pixel 7a,lynx,Pixel 7a,"Advanced XPerience Os, CalyxOS, CrDroid"
Google,Pixel 8,shiba,Pixel 8,"Bliss ROMs, CalyxOS, CrDroid, Derpfest"
Google,Pixel 8 Pro,husky,Pixel 8 Pro,"AlphaDroid, Bliss ROMs, CalyxOS, CrDroid, Derpfest"
Google,Pixel 8a,akita,Pixel 8a,"CalyxOS, CrDroid"
Google,Pixel 9,tokay,Pixel 9,"CalyxOS, CrDroid"
Google,Pixel 9 Pro,caiman,Pixel 9 Pro,"CalyxOS, CrDroid, Derpfest"
Google,Pixel 9 Pro Fold,comet,Pixel 9 Pro Fold,CrDroid
Google,Pixel 9 Pro XL,komodo,Pixel 9 Pro XL,"CalyxOS, CrDroid"
Google,Pixel Fold,felix,Pixel Fold,CalyxOS
Google,Pixel Tablet,tangorpro,Pixel Tablet,CalyxOS
Google,Pixel Watch 2,aurora,Google Pixel Watch 2,CrDroid
Graetz,GRAETZ,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Green House,4K Smart TV,pioneer,4K SA Smart TV,CrDroid
Greentel,X2,X2,X2,CrDroid
Grunhelm,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
HKC Elec,4K Smart TV,pioneer,4K PA Smart TV,CrDroid
HKC Elec,4K Smart TV,pioneer,4K SA Smart TV,CrDroid
HKC Elec,4K Smart TV,pioneer,HKC 4K SA Smart TV,CrDroid
HKC Elec,Smart TV,pioneer,4K PA Smart TV,CrDroid
HP,7 G2,redwood,HP 7 G2,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
HP,8 G2,maple,HP 8 G2,"Carbon ROM, CrDroid"
HP,Slate 7,pine,HP Slate 7,"ConquerOS, CrDroid, Dot OS"
HP,Slate 7 Extreme,olive,HP Slate7 Extreme,"CrDroid, Dot OS"
HTC,9060,m7,HTC 801e,AICP
HTC,Amaze_4G,ruby,HTC Amaze 4G,CrDroid
HTC,Amaze_4G,ruby,HTC Ruby,CrDroid
HTC,Amaze_4G,ruby,HTC_Amaze_4G,CrDroid
HTC,One,m7,HTC 801e,AICP
HTC,One,m7,HTC One,AICP
HTC,One,m7,HTC One 801e,AICP
HTC,One,m7,HTC_PN071,AICP
HTC,One 801e,m7,HTC One 801e,AICP
HTC,One 801e,m7,HTC One 801s,AICP
HTC,One Google Play edition,m7,HTC One,AICP
HTC,myTouch 3G,sapphire,HTC Magic,CrDroid
HTC,myTouch 3G,sapphire,T-Mobile myTouch 3G,CrDroid
Honda,A-DA,sakura,MY18ADA,"BananaDroid, Cesium OS, CrDroid, Dot OS, DroidX-UI"
Huawei,Nexus 6P,angler,Nexus 6P,"Carbon ROM, CrDroid"
Hyundai,Android TV,redwood,AI PONT NA,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Hyundai,Android TV,redwood,AI PONT SA,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Hyundai,BS5002,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Hyundai,HYUNDAI,lavender,4K SMART COL TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Hyundai,HYUNDAI,lavender,4K SMART ISDB TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Hyundai,HYUNDAI,lavender,HYUNDAI 4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Hyundai,Smart TV,redwood,AI PONT CO,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
IkuMobile,X2,X2,iKU X2,CrDroid
Indurama,Indurama,lavender,INDURAMA GOOGLE TV 4K,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Itel,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
JVC,4K Smart TV,pioneer,4K SA Smart TV,CrDroid
JVC,JVC,lavender,JVC 4K DVB TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
JVC,JVC,lavender,JVC 4K ISDB TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Jetpoint,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
KTC,EcoTVCOL,lavender,EcoTV C,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
KTC,EcoTVDVB,lavender,EcoTV D,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
KTC,EcoTVISDB,lavender,EcoTV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
KTCtv,ASAANO,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
