Retail Branding,Marketing Name,Device,Model,Supported ROMs
Motorola,motorola edge 20 pro,pstar,motorola edge 20 pro,"CrDroid, Derpfest"
Motorola,motorola edge 30,dubai,moto g200 5G,"Arrow OS, CrDroid"
Motorola,motorola edge 30,dubai,motorola edge 30,"Arrow OS, CrDroid"
Motorola,motorola edge 30 ultra,eqs,motorola edge,DroidX-UI
Motorola,motorola edge 30 ultra,eqs,motorola edge 30 ultra,DroidX-UI
Motorola,motorola edge 40 pro,rtwo,motorola edge 30 pro,Derpfest
Motorola,motorola edge 40 pro,rtwo,motorola edge 40 pro,Derpfest
Motorola,motorola edge plus 2023,rtwo,motorola edge plus (2022),Derpfest
Motorola,motorola edge plus 2023,rtwo,motorola edge plus 2023,Derpfest
Motorola,motorola edge s,nio,XT2125-4,CrDroid
Motorola,motorola edge s pro,pstar,XT2153-1,"CrDroid, Derpfest"
Motorola,motorola edge 轻奢版,berlin,XT2143-1,CrDroid
Motorola,motorola egde s,nio,XT2125-4,CrDroid
Motorola,motorola one 5G ace,kiev,motorola one 5G ace,CrDroid
Motorola,motorola one fusion+,liber,motorola one fusion+,Dot OS
Motorola,motorola p50,kane,XT1970-5,CrDroid
Mtek,MTEK,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Nikkei,Android TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Nokia,4K Smart TV,pioneer,4K PA Smart TV,CrDroid
Nokia,Nokia 6,PL2,TA-1054,CrDroid
Nokia,Nokia 6.1,PL2,Nokia 6.1,CrDroid
Nokia,Nokia 8.1,PNX_sprout,Nokia 8.1,CrDroid
Nokia,Nokia X6,DRG,Nokia X6,CrDroid
Nokia,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Nothing,Nothing Phone (1),Spacewar,A063,"AfterlifeOs, AlphaDroid, Arrow OS, Bliss ROMs, Cherish OS, CrDroid, Derpfest"
Nothing,Nothing Phone (2),Pong,A065,"Black Iron Project, Bliss ROMs, CrDroid, DroidX-UI"
Nothing,Nothing Phone (2),Pong,AIN065,"Black Iron Project, Bliss ROMs, CrDroid, DroidX-UI"
OK (Mediamark),4K Smart TV,pioneer,4K PA Smart TV,CrDroid
OK (Mediamark),Android TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
OK (Mediamark),Smart TV,redwood,AI PONT DE,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
ORION,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Oppo,realme C2,RMX1941,RMX1941,CrDroid
PEL (PAK),PEL,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
PILOT,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
POCO,POCO C75,lake,2410FPCC5G,"CrDroid, Derpfest"
POCO,POCO F2 Pro,lmi,POCO F2 Pro,"Bliss ROMs, Cherish OS, CrDroid"
POCO,POCO F3,alioth,M2012K11AG,"BananaDroid, Bliss ROMs, Bootleggers ROM, CatalystOS, Cherish OS, ConquerOS, CrDroid"
POCO,POCO F4,munch,22021211RG,"Ancient OS, Arrow OS, BananaDroid, Bootleggers ROM, Cherish OS, CrDroid"
POCO,POCO F4,munch,22021211RI,"Ancient OS, Arrow OS, BananaDroid, Bootleggers ROM, Cherish OS, CrDroid"
POCO,POCO F5,marble,23049PCD8G,"Ancient OS, BananaDroid, Black Iron Project, Cherish OS, CrDroid, Derpfest, DroidX-UI"
POCO,POCO F5,marble,23049PCD8I,"Ancient OS, BananaDroid, Black Iron Project, Cherish OS, CrDroid, Derpfest, DroidX-UI"
POCO,POCO F6,peridot,24069PC21G,"AlphaDroid, Bliss ROMs, CrDroid"
POCO,POCO F6,peridot,24069PC21I,"AlphaDroid, Bliss ROMs, CrDroid"
POCO,POCO F6 Pro,vermeer,23113RKC6G,Black Iron Project
POCO,POCO M3 Pro 5G,camellia,M2103K19PI,"Cherish OS, CrDroid"
POCO,POCO M5,stone,22071219CG,"AlphaDroid, Ancient OS, BananaDroid, Black Iron Project, Cherish OS, CrDroid, Derpfest, DroidX-UI"
POCO,POCO M5s,rosemary,2207117BPG,CrDroid
POCO,POCO M6 Pro 5G,sky,23076PC4BI,"Bliss ROMs, Cherish OS, CrDroid, Derpfest, DroidX-UI"
POCO,POCO M7 5G,flame,24108PCE2I,"Bliss ROMs, CalyxOS, Derpfest"
POCO,POCO X3 NFC,surya,M2007J20CG,"AlphaDroid, Ancient OS, Arrow OS, BananaDroid, Bliss ROMs, CrDroid, Derpfest, Dot OS"
POCO,POCO X3 Pro,vayu,M2102J20SG,"AICP, AmyROM, Arrow OS, BananaDroid, Bliss ROMs, Bootleggers ROM, Cherish OS, ConquerOS, CrDroid, Derpfest, Dot OS"
POCO,POCO X4 Pro 5G,veux,2201116PG,"AlphaDroid, Ancient OS, Arrow OS, BananaDroid, Cherish OS, CrDroid, Derpfest, DroidX-UI"
POCO,POCO X5 Pro 5G,redwood,22101320G,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
POCO,POCO X6 5G,garnet,23122PCD1G,"AlphaDroid, Cherish OS, CrDroid, Derpfest, DroidX-UI"
POCO,POCO X6 5G,garnet,23122PCD1I,"AlphaDroid, Cherish OS, CrDroid, Derpfest, DroidX-UI"
Philips,PHILIPS,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Philips,PHILIPS,lavender,4K SMART TV PH,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Philips,W8510,Topaz,Philips W8510,AfterlifeOs
Plaisio,Turbo-X s2,s2,s2,"AOSP Extended, Cesium OS"
Polaroid,G5N,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Polytron,4K Smart TV,pioneer,4K PA Smart TV,CrDroid
Premier,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
QBell,QBELL,lavender,QBELL 4K Android TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
RCA,4K Smart TV,pioneer,4K SA Smart TV,CrDroid
RCA,RCA,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Radger,Redmi 10C,fog,220333QAG,"Ancient OS, BananaDroid, Cherish OS"
Rangs,RANGS,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Realme,RMX2020,RMX2020,RMX2020,"Arrow OS, CrDroid, DroidX-UI"
Realme,realme 2 Pro,RMX1801,RMX1801,Bliss ROMs
Realme,realme 3Pro,RMX1851,RMX1851,"BananaDroid, Dot OS"
Realme,realme 5Pro,RMX1971,RMX1971,"AfterlifeOs, Bliss ROMs, CrDroid, Derpfest, Dot OS"
Realme,realme 5pro,RMX1971,RMX1971,"AfterlifeOs, Bliss ROMs, CrDroid, Derpfest, Dot OS"
Realme,realme C3,RMX2020,RMX2020,"Arrow OS, CrDroid, DroidX-UI"
Realme,realme XT,RMX1921,RMX1921,"AfterlifeOs, Bliss ROMs, CrDroid, Derpfest, Dot OS"
Redmi,K30 PRO,lmi,Lmi,"Bliss ROMs, Cherish OS, CrDroid"
Redmi,K30 PRO,lmi,Redmi K30 Pro,"Bliss ROMs, Cherish OS, CrDroid"
Redmi,Mi 9T,davinci,Mi 9T,"AICP, AlphaDroid, Arrow OS, Bliss ROMs, Bootleggers ROM, Cherish OS, CrDroid, Derpfest, Dot OS"
Redmi,Redmi  7A,pine,Redmi 7A,"ConquerOS, CrDroid, Dot OS"
Redmi,Redmi  7A,pine,pine,"ConquerOS, CrDroid, Dot OS"
Redmi,Redmi  Note  7,lavender,Redmi Note 7,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Redmi,Redmi 10,fog,220333QBI,"Ancient OS, BananaDroid, Cherish OS"
Redmi,Redmi 10 Power,fog,220333QBI,"Ancient OS, BananaDroid, Cherish OS"
Redmi,Redmi 10C,fog,220333QAG,"Ancient OS, BananaDroid, Cherish OS"
Redmi,Redmi 10X 4G,merlin,M2003J15SC,AICP
Redmi,Redmi 12 5G,river,23076RA4BR,"AICP, AOSP Extended, CrDroid, Derpfest"
Redmi,Redmi 12 5G,river,23076RN8DY,"AICP, AOSP Extended, CrDroid, Derpfest"
Redmi,Redmi 12 5G,river,A401XM,"AICP, AOSP Extended, CrDroid, Derpfest"
Redmi,Redmi 14C,lake,2409BRN2CY,"CrDroid, Derpfest"
Redmi,Redmi 14C 5G,flame,2411DRN47I,"Bliss ROMs, CalyxOS, Derpfest"
Redmi,Redmi 7A,pine,Redmi 7A,"ConquerOS, CrDroid, Dot OS"
Redmi,Redmi 8,olive,Redmi 8,"CrDroid, Dot OS"
Redmi,Redmi 8A Dual,olivewood,Redmi 8A Dual,Dot OS
Redmi,Redmi 8A Dual,olivewood,Redmi 8A Pro,Dot OS
Redmi,Redmi 9,lancelot,M2004J19C,"CrDroid, DroidX-UI"
Redmi,Redmi 9,lancelot,M2004J19G,"CrDroid, DroidX-UI"
Redmi,Redmi 9 Power,lime,M2010J19SI,Derpfest
Redmi,Redmi 9 Prime,lancelot,M2004J19C,"CrDroid, DroidX-UI"
Redmi,Redmi 9 Prime,lancelot,M2004J19I,"CrDroid, DroidX-UI"
Redmi,Redmi 9T,lime,M2010J19SG,Derpfest
Redmi,Redmi A1,ice,220733SG,CrDroid
Redmi,Redmi A1,ice,220733SI,CrDroid
Redmi,Redmi A1,ice,220733SL,CrDroid
Redmi,Redmi K20,davinci,Mi 9T,"AICP, AlphaDroid, Arrow OS, Bliss ROMs, Bootleggers ROM, Cherish OS, CrDroid, Derpfest, Dot OS"
Redmi,Redmi K20,davinci,Redmi K20,"AICP, AlphaDroid, Arrow OS, Bliss ROMs, Bootleggers ROM, Cherish OS, CrDroid, Derpfest, Dot OS"
Redmi,Redmi K20 Pro,raphael,Mi 9T Pro,"AICP, AlphaDroid, Ancient OS, Arrow OS, Black Iron Project, Bliss ROMs, Bootleggers ROM, CrDroid, Derpfest, Dot OS"
Redmi,Redmi K20 Pro,raphael,Redmi K20 Pro,"AICP, AlphaDroid, Ancient OS, Arrow OS, Black Iron Project, Bliss ROMs, Bootleggers ROM, CrDroid, Derpfest, Dot OS"
Redmi,Redmi K20 Pro,raphael,Redmi K20 Pro Premium Edition,"AICP, AlphaDroid, Ancient OS, Arrow OS, Black Iron Project, Bliss ROMs, Bootleggers ROM, CrDroid, Derpfest, Dot OS"
Redmi,Redmi K30,phoenix,Redmi K30,"Arrow OS, Bliss ROMs, Carbon ROM, CrDroid, Dot OS"
Redmi,Redmi K30 5G,picasso,Redmi K30 5G,"Cherish OS, CrDroid"
Redmi,Redmi K30S Ultra,apollo,M2007J3SC,"Arrow OS, Bliss ROMs, Dot OS, DroidX-UI"
Redmi,Redmi K30i 5G,picasso,Redmi K30i 5G,"Cherish OS, CrDroid"
Redmi,Redmi K40,alioth,M2012K11AC,"BananaDroid, Bliss ROMs, Bootleggers ROM, CatalystOS, Cherish OS, ConquerOS, CrDroid"
Redmi,Redmi K40 Pro,haydn,M2012K11C,"Ancient OS, Bliss ROMs, CrDroid"
Redmi,Redmi K40 Pro +,haydn,M2012K11C,"Ancient OS, Bliss ROMs, CrDroid"
Redmi,Redmi K40S,munch,22021211RC,"Ancient OS, Arrow OS, BananaDroid, Bootleggers ROM, Cherish OS, CrDroid"
Redmi,Redmi K60,mondrian,23013RK75C,Derpfest
Redmi,Redmi K70,vermeer,23113RKC6C,Black Iron Project
Redmi,Redmi Note 10,camellia,M2103K19C,"Cherish OS, CrDroid"
Redmi,Redmi Note 10,sunny,M2101K7AG,AlphaDroid
Redmi,Redmi Note 10,sunny,M2101K7AI,AlphaDroid
Redmi,Redmi Note 10 Pro,sweet,M2101K6G,"AlphaDroid, Ancient OS, Arrow OS, BananaDroid, Bliss ROMs, Carbon ROM, Cherish OS, ConquerOS, CrDroid, Dot OS, DroidX-UI"
Redmi,Redmi Note 10S,rosemary,M2101K7BL,CrDroid
Redmi,Redmi Note 10S,rosemary,M2101K7BNY,CrDroid
Redmi,Redmi Note 10T 5G,camellia,M2103K19I,"Cherish OS, CrDroid"
Redmi,Redmi Note 10T 5G,camellia,TBD,"Cherish OS, CrDroid"
Redmi,Redmi Note 11,spes,2201117TG,"Ancient OS, BananaDroid, CrDroid, Dot OS, DroidX-UI"
Redmi,Redmi Note 11,spes,2201117TI,"Ancient OS, BananaDroid, CrDroid, Dot OS, DroidX-UI"
Redmi,Redmi Note 11,spes,2201117TL,"Ancient OS, BananaDroid, CrDroid, Dot OS, DroidX-UI"
Redmi,Redmi Note 11 Pro 5G,veux,2201116SG,"AlphaDroid, Ancient OS, Arrow OS, BananaDroid, Cherish OS, CrDroid, Derpfest, DroidX-UI"
Redmi,Redmi Note 11 Pro 5G,veux,2201116SR,"AlphaDroid, Ancient OS, Arrow OS, BananaDroid, Cherish OS, CrDroid, Derpfest, DroidX-UI"
Redmi,Redmi Note 11E Pro,veux,2201116SC,"AlphaDroid, Ancient OS, Arrow OS, BananaDroid, Cherish OS, CrDroid, Derpfest, DroidX-UI"
Redmi,Redmi Note 12,topaz,23021RAA2Y,"CrDroid, DroidX-UI"
Redmi,Redmi Note 12 Pro,ruby,22101316C,CrDroid
Redmi,Redmi Note 12 Pro,sweet,2209116AG,"AlphaDroid, Ancient OS, Arrow OS, BananaDroid, Bliss ROMs, Carbon ROM, Cherish OS, ConquerOS, CrDroid, Dot OS, DroidX-UI"
Redmi,Redmi Note 12 Pro 5G,ruby,22101316G,CrDroid
Redmi,Redmi Note 12 Pro 5G,ruby,22101316I,CrDroid
Redmi,Redmi Note 12 Pro Speed,redwood,22101320C,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Redmi,Redmi Note 12 Turbo,marble,23049RAD8C,"Ancient OS, BananaDroid, Black Iron Project, Cherish OS, CrDroid, Derpfest, DroidX-UI"
Redmi,Redmi Note 12S,ocean,2303CRA44A,"AICP, CrDroid, Derpfest, Dot OS"
Redmi,Redmi Note 12S,ocean,2303ERA42L,"AICP, CrDroid, Derpfest, Dot OS"
Redmi,Redmi Note 13,sapphire,23129RA5FL,CrDroid
Redmi,Redmi Note 13,sapphire,23129RAA4G,CrDroid
Redmi,Redmi Note 13 Pro 5G,garnet,2312CRAD3C,"AlphaDroid, Cherish OS, CrDroid, Derpfest, DroidX-UI"
Redmi,Redmi Note 13 Pro 5G,garnet,2312DRA50C,"AlphaDroid, Cherish OS, CrDroid, Derpfest, DroidX-UI"
Redmi,Redmi Note 13 Pro 5G,garnet,2312DRA50G,"AlphaDroid, Cherish OS, CrDroid, Derpfest, DroidX-UI"
Redmi,Redmi Note 13 Pro 5G,garnet,2312DRA50I,"AlphaDroid, Cherish OS, CrDroid, Derpfest, DroidX-UI"
Redmi,Redmi Note 7,lavender,Redmi Note 7,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Redmi,Redmi Note 8,ginkgo,GINKGO,"AICP, AlphaDroid, Ancient OS, Arrow OS, Bliss ROMs, Carbon ROM, Cesium OS, Cherish OS, ConquerOS, CrDroid, Dot OS"
Redmi,Redmi Note 8,ginkgo,Redmi Note 8,"AICP, AlphaDroid, Ancient OS, Arrow OS, Bliss ROMs, Carbon ROM, Cesium OS, Cherish OS, ConquerOS, CrDroid, Dot OS"
Redmi,Redmi Note 8 Pro,begonia,Redmi Note 8 Pro,"AlphaDroid, BananaDroid, Bliss ROMs, Cesium OS, Cherish OS, CrDroid, Derpfest, Dot OS, DroidX-UI"
Redmi,Redmi Note 8 Pro,begonia,begonia,"AlphaDroid, BananaDroid, Bliss ROMs, Cesium OS, Cherish OS, CrDroid, Derpfest, Dot OS, DroidX-UI"
Redmi,Redmi Note 8T,willow,Redmi Note 8T,Cesium OS
Redmi,Redmi Note 8T,willow,willow,Cesium OS
Redmi,Redmi Note 9,merlin,M2003J15SC,AICP
Redmi,Redmi Note 9,merlin,M2003J15SI,AICP
Redmi,Redmi Note 9,merlin,M2003J15SS,AICP
Redmi,Redmi Note 9 4G,lime,M2010J19SC,Derpfest
Redmi,Redmi Note 9 Pro,joyeuse,Redmi Note 9 Pro,"BananaDroid, ConquerOS"
Redmi,Redmi Turbo 3,peridot,24069RA21C,"AlphaDroid, Bliss ROMs, CrDroid"
Rindo,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
S Vision,SVISION,lavender,SVISION 4K Android TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
SABA,A11,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
SABA,Smart TV,redwood,AI PONT IT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
SHIFT,SHIFT6mq,axolotl,SHIFT6mq,CalyxOS
SHINON,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
SK Telesys,ITP-E410W,willow,ITP-E410W,Cesium OS
SMART Technologies,AM60 series,komodo,AM60 series,"CalyxOS, CrDroid"
SMART Technologies,AM60 series,komodo,SMART AM60,"CalyxOS, CrDroid"
SMART Technologies,AMG1,komodo,AMG series,"CalyxOS, CrDroid"
SMART Technologies,SMART AMG series,komodo,SMART AMG1,"CalyxOS, CrDroid"
Samsung,Galaxy A10,a10,SM-A105F,"Ancient OS, CrDroid"
Samsung,Galaxy A10,a10,SM-A105FN,"Ancient OS, CrDroid"
Samsung,Galaxy A10,a10,SM-A105G,"Ancient OS, CrDroid"
Samsung,Galaxy A10,a10,SM-A105M,"Ancient OS, CrDroid"
Samsung,Galaxy A10,a10,SM-A105N,"Ancient OS, CrDroid"
Samsung,Galaxy A20,a20,SM-A205F,"Ancient OS, CrDroid"
Samsung,Galaxy A20,a20,SM-A205FN,"Ancient OS, CrDroid"
Samsung,Galaxy A20,a20,SM-A205G,"Ancient OS, CrDroid"
Samsung,Galaxy A20,a20,SM-A205GN,"Ancient OS, CrDroid"
Samsung,Galaxy A20,a20,SM-A205W,"Ancient OS, CrDroid"
Samsung,Galaxy A20,a20,SM-A205YN,"Ancient OS, CrDroid"
Samsung,Galaxy A20e,a20e,SM-A202F,Ancient OS
Samsung,Galaxy A30,a30,SM-A305F,Ancient OS
Samsung,Galaxy A30,a30,SM-A305FN,Ancient OS
Samsung,Galaxy A30,a30,SM-A305G,Ancient OS
Samsung,Galaxy A30,a30,SM-A305GN,Ancient OS
Samsung,Galaxy A30,a30,SM-A305GT,Ancient OS
Samsung,Galaxy A30,a30,SM-A305N,Ancient OS
Samsung,Galaxy A30,a30,SM-A305YN,Ancient OS
Samsung,Galaxy A40,a40,SM-A405FM,"Ancient OS, CrDroid"
Samsung,Galaxy A40,a40,SM-A405FN,"Ancient OS, CrDroid"
Samsung,Galaxy A40,a40,SM-A405S,"Ancient OS, CrDroid"
Samsung,Galaxy A5(2016),a5xelte,SM-A510F,Cesium OS
Samsung,Galaxy A5(2016),a5xelte,SM-A510M,Cesium OS
Samsung,Galaxy A5(2016),a5xelte,SM-A510X,Cesium OS
Samsung,Galaxy A5(2016),a5xelte,SM-A510Y,Cesium OS
Samsung,Galaxy A5(2017),a5y17lte,SM-A520F,CrDroid
Samsung,Galaxy A5(2017),a5y17lte,SM-A520X,CrDroid
Samsung,Galaxy A52,a52q,SM-A525F,"Ancient OS, Bootleggers ROM"
Samsung,Galaxy A52,a52q,SM-A525M,"Ancient OS, Bootleggers ROM"
Samsung,Galaxy A7(2017),a7y17lte,SM-A720F,CrDroid
Samsung,Galaxy A70,a70q,SM-A7050,"Bliss ROMs, CrDroid"
Samsung,Galaxy A70,a70q,SM-A705F,"Bliss ROMs, CrDroid"
Samsung,Galaxy A70,a70q,SM-A705FN,"Bliss ROMs, CrDroid"
Samsung,Galaxy A70,a70q,SM-A705GM,"Bliss ROMs, CrDroid"
Samsung,Galaxy A70,a70q,SM-A705MN,"Bliss ROMs, CrDroid"
Samsung,Galaxy A70,a70q,SM-A705U,"Bliss ROMs, CrDroid"
Samsung,Galaxy A70,a70q,SM-A705W,"Bliss ROMs, CrDroid"
Samsung,Galaxy A70,a70q,SM-A705YN,"Bliss ROMs, CrDroid"
Samsung,Galaxy A71,a71,SM-A715F,CrDroid
Samsung,Galaxy A71,a71,SM-A715W,CrDroid
Samsung,Galaxy A71,a71,SM-A715X,CrDroid
Samsung,Galaxy A73 5G,a73xq,SM-A736B,CrDroid
Samsung,Galaxy F62,f62,SM-E625F,"CrDroid, DroidX-UI"
Samsung,Galaxy J5,j5y17lte,SM-J530F,Advanced XPerience Os
Samsung,Galaxy J5,j5y17lte,SM-J530FM,Advanced XPerience Os
Samsung,Galaxy J5 Pro,j5y17lte,SM-J530G,Advanced XPerience Os
Samsung,Galaxy J5 Pro,j5y17lte,SM-J530GM,Advanced XPerience Os
Samsung,Galaxy J7(2016),j7xelte,SM-J710F,CrDroid
Samsung,Galaxy J7(2016),j7xelte,SM-J710FQ,CrDroid
Samsung,Galaxy J7(2016),j7xelte,SM-J710GN,CrDroid
Samsung,Galaxy J7(2016),j7xelte,SM-J710MN,CrDroid
Samsung,Galaxy Jean2,a20e,SM-A202K,Ancient OS
Samsung,Galaxy M52 5G,m52xq,SM-M526B,CrDroid
Samsung,Galaxy M52 5G,m52xq,SM-M526BR,CrDroid
Samsung,Galaxy Note10,d1,SM-N970F,"BananaDroid, CrDroid, DroidX-UI"
Samsung,Galaxy Note10+,d2s,SM-N975F,"BananaDroid, CrDroid, DroidX-UI"
Samsung,Galaxy Note10+ 5G,d2x,SM-N976B,"BananaDroid, CrDroid, DroidX-UI"
Samsung,Galaxy Note10+ 5G,d2x,SM-N976N,"BananaDroid, CrDroid, DroidX-UI"
Samsung,Galaxy Note3,hlte,SM-N9005,CrDroid
Samsung,Galaxy Note3,hlte,SM-N9006,CrDroid
Samsung,Galaxy Note3,hlte,SM-N9007,CrDroid
Samsung,Galaxy Note3,hlte,SM-N9008V,CrDroid
Samsung,Galaxy Note3,hlte,SM-N9009,CrDroid
Samsung,Galaxy Note3,hlte,SM-N900U,CrDroid
Samsung,Galaxy Note3,hltetmo,SM-N900T,CrDroid
Samsung,Galaxy Note3 Duos,hlte,SM-N9002,CrDroid
Samsung,Galaxy Note3 Duos,hlte,SM-N9008,CrDroid
Samsung,Galaxy Note9,crownlte,SM-N960F,"Bliss ROMs, Bootleggers ROM, CrDroid"
Samsung,Galaxy Note9,crownqltechn,SM-N9600,Dot OS
Samsung,Galaxy S10 5G,beyondx,SM-G977B,"BananaDroid, CrDroid, DroidX-UI"
Samsung,Galaxy S10 5G,beyondx,SM-G977N,"BananaDroid, CrDroid, DroidX-UI"
Samsung,Galaxy S20,x1s,SM-G980F,CrDroid
Samsung,Galaxy S20 5G,x1s,SM-G981B,CrDroid
Samsung,Galaxy S20 FE,r8q,SM-G780G,CrDroid
Samsung,Galaxy S20 FE 5G,r8q,SM-G7810,CrDroid
Samsung,Galaxy S20 FE 5G,r8q,SM-G781B,CrDroid
Samsung,Galaxy S20 FE 5G,r8q,SM-G781N,CrDroid
Samsung,Galaxy S20 FE 5G,r8q,SM-G781U,CrDroid
Samsung,Galaxy S20 FE 5G,r8q,SM-G781U1,CrDroid
Samsung,Galaxy S20 FE 5G,r8q,SM-G781V,CrDroid
Samsung,Galaxy S20 FE 5G,r8q,SM-G781W,CrDroid
Samsung,Galaxy S20 Ultra 5G,z3s,SM-G988B,CrDroid
Samsung,Galaxy S20+,y2s,SM-G985F,CrDroid
Samsung,Galaxy S20+ 5G,y2s,SM-G986B,CrDroid
Samsung,Galaxy S5,klte,SM-G9008W,"Advanced XPerience Os, CrDroid"
Samsung,Galaxy S5,klte,SM-G9009W,"Advanced XPerience Os, CrDroid"
Samsung,Galaxy S5,klte,SM-G900F,"Advanced XPerience Os, CrDroid"
Samsung,Galaxy S5,klte,SM-G900FQ,"Advanced XPerience Os, CrDroid"
Samsung,Galaxy S5,klte,SM-G900I,"Advanced XPerience Os, CrDroid"
Samsung,Galaxy S5,klte,SM-G900M,"Advanced XPerience Os, CrDroid"
Samsung,Galaxy S5,klte,SM-G900MD,"Advanced XPerience Os, CrDroid"
Samsung,Galaxy S5 Dual SIM,klte,SM-G900FD,"Advanced XPerience Os, CrDroid"
Samsung,Galaxy S7,herolte,SM-G930F,"AmyROM, CrDroid"
Samsung,Galaxy S7,herolte,SM-G930X,"AmyROM, CrDroid"
Samsung,Galaxy S7 Edge,hero2lte,SM-G935X,"AmyROM, CrDroid"
Samsung,Galaxy S7 edge,hero2lte,SM-G935F,"AmyROM, CrDroid"
Samsung,Galaxy S9,starlte,SM-G960F,"Arrow OS, Bliss ROMs, Bootleggers ROM, Carbon ROM, CrDroid"
Samsung,Galaxy S9,starqltechn,SM-G9600,"Colt OS, Dot OS"
Samsung,Galaxy S9+,star2lte,SM-G965F,"Arrow OS, Bliss ROMs, Bootleggers ROM, Carbon ROM, CrDroid"
Samsung,Galaxy S9+,star2qltechn,SM-G9650,"Colt OS, Dot OS"
Samsung,Galaxy Tab A (2016),gtaxlwifi,SM-T580,CrDroid
Samsung,Galaxy Tab A 10.1,gtaxlwifi,SM-T580X,CrDroid
Samsung,Galaxy Tab S5e,gts4lv,SM-T725,CrDroid
Samsung,Galaxy Tab S5e,gts4lv,SM-T725C,CrDroid
Samsung,Galaxy Tab S5e,gts4lv,SM-T725N,CrDroid
Samsung,Galaxy Tab S5e,gts4lv,SM-T727,CrDroid
Samsung,Galaxy Tab S5e,gts4lv,SM-T727A,CrDroid
Samsung,Galaxy Tab S5e,gts4lv,SM-T727R4,CrDroid
Samsung,Galaxy Tab S5e,gts4lv,SM-T727U,CrDroid
Samsung,Galaxy Tab S5e,gts4lv,SM-T727V,CrDroid
Samsung,Galaxy Tab S5e,gts4lvwifi,SM-T720,"Bliss ROMs, CrDroid"
Samsung,Galaxy Tab S6 Lite,gta4xl,SM-P615,CrDroid
Samsung,Galaxy Tab S6 Lite,gta4xl,SM-P615C,CrDroid
Samsung,Galaxy Tab S6 Lite,gta4xl,SM-P615N,CrDroid
Samsung,Galaxy Tab S6 Lite,gta4xl,SM-P617,CrDroid
Samsung,Galaxy Tab S6 Lite,gta4xlwifi,SM-P610,CrDroid
Samsung,Galaxy Tab S6 Lite,gta4xlwifi,SM-P610X,CrDroid
Samsung,Galaxy Wide4,a20,SM-A205S,"Ancient OS, CrDroid"
Selvas,BrailleSense Polaris,polaris,BrailleSensePolaris,CrDroid
Sharp,SHARP,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Sico,Sico Sapphire,Sapphire,Sapphire,AfterlifeOs
Sico,Sico Topaz,Topaz,SICO Topaz,AfterlifeOs
